,Item,ValorUnitarioAprovado,Data,idPRONAC
1568611,Operador de Luz,250.0,2015-01-10 09:55:47,162413
1787618,Assistente administrativo,900.0,2014-01-07 10:09:08,170851
1725207,Marceneiro,5000.0,2015-01-10 00:00:00,168595
1806801,Sítio de Internet - Design e criação,5000.0,2013-12-13 00:00:00,170061
1617697,Sítio de Internet - Design e criação,2500.0,2015-01-10 09:55:46,162868
1028230,Assessor de imprensa,4000.0,2011-12-12 00:00:00,145132
2020338,Hospedagem com Alimentação,40.0,2015-03-21 08:50:18,184734
1903997,Produtor Executivo,6000.0,2014-06-30 17:04:35,177530
1097357,Assistente de produção,1000.0,2012-07-01 00:00:00,147648
948254,Uniforme,80.0,2012-01-15 00:00:00,143062
864332,Revisão de Texto,30.0,2011-09-01 00:00:00,137283
2395688,Passagens Aéreas (Descrever os trechos na tela de deslocamentos),800.0,2016-12-05 12:31:11,205340
11554,Registro videográfico,3000.0,2009-07-01 00:00:00,111163
620970,Psicólogo (no caso de projetos socioculturais),40.0,2011-06-01 00:00:00,130704
939166,Acabamentos,15600.0,2011-12-12 00:00:00,140162
2482601,Locação de equipamentos,10000.0,2017-05-12 10:28:09,207930
1764289,Contador,1600.0,2014-01-07 10:09:08,167477
2155652,Passagens Aéreas (Descrever os trechos na tela de deslocamentos),700.0,2015-08-07 16:26:55,189897
2223924,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",950.0,2016-01-13 16:16:40,195252
1798430,Transporte de material,0.0,2014-04-16 00:00:00,174813
197136,Locação de mesa de som/ equipamentos,2000.0,2010-01-01 00:00:00,116495
1035900,Impressão,28.0,2014-01-07 00:00:00,152164
122064,Produtor,4000.0,2010-10-01 00:00:00,117277
2389422,Mídia internet,1200.0,2016-06-22 16:29:41,202808
2287926,Planejamento,5000.0,2017-02-01 00:00:00,199557
693746,Coordenação geral,1300.0,2014-01-07 10:09:08,133451
1894394,Cópias e reproduções,120.0,2014-05-15 00:00:00,173387
287931,Ator/Atriz,400.0,2011-08-29 00:00:00,120671
2284057,Transcrição de fitas,150.0,2016-02-01 00:00:00,198502
2241553,Material de consumo,1500.0,2015-11-23 16:42:19,195249
2380251,Locação de teatro,550.0,2017-06-16 00:00:00,208772
882230,Complementos,446.88,2012-01-01 00:00:00,140040
2479589,"Banner/faixa adesiva/faixa de lona/saia de palco/testeira/pórtico
",1750.0,2017-07-01 10:01:30,206424
1205354,Motoboy,100.0,2012-08-10 00:00:00,152804
1761091,Lavanderia,100.0,2014-11-27 16:53:43,185572
1657116,Carro de som,600.0,2013-09-24 00:00:00,165991
1163535,Assessoria de Comunicação,10000.0,2012-06-04 00:00:00,150846
262248,Secretária,900.0,2010-02-01 00:00:00,119171
10104,"Anúncio de 1/4 de página
",4000.0,2009-07-01 00:00:00,111413
713285,Coordenação Administrativo- Financeiro,28313.2,2011-03-29 00:00:00,133196
1866185,Técnico de som,300.0,2014-03-17 00:00:00,172694
2255822,Coordenação pedagógica,20000.0,2017-07-10 10:54:44,209222
491112,Assistente administrativo,800.0,2011-01-03 00:00:00,127442
1284138,Hospedagem sem Alimentação,20000.0,2014-07-04 16:32:56,170980
157049,Aderecista,3500.0,2010-01-04 00:00:00,118146
2532323,"Textos de parede – 1,50 x 0,50m em vinil adesivo",0.0,2017-06-02 16:43:03,208945
1125915,Mídia impressa,290000.0,2012-07-09 00:00:00,150033
2315055,Assessor de imprensa,3000.0,2016-03-01 00:00:00,199885
873452,Correios,20.0,2011-10-07 00:00:00,138275
156500,Ator/atriz coadjuvante,300.0,2010-03-01 00:00:00,116156
1907908,Designer,10000.0,2015-09-25 16:34:59,193002
2250087,Elaboração de prestação de contas,2000.0,2015-09-22 16:32:05,193350
903639,Assessoria Jurídica (Contratos Inclusive),2000.0,2012-01-01 00:00:00,143331
2372039,Telefone,300.0,2016-03-01 13:58:12,201471
486410,Locação de mesa de som/ equipamentos,600.0,2009-09-05 00:00:00,111927
945401,Locação de teatro,8000.0,2012-01-01 00:00:00,142037
2519828,Tradutor e Adaptador,10000.0,2018-01-01 10:58:38,214647
2474808,Passagens terrestres,0.0,2017-03-15 10:02:46,208253
217206,Ensaiador,2100.0,2014-01-07 10:09:08,156602
1246247,Webdesigner,2250.0,2014-01-07 10:09:08,155168
1075730,Revisão de Texto,250.0,2012-03-27 00:00:00,148668
1012517,Técnico de som,1700.0,2016-10-01 00:00:00,200979
2297754,Locação de caçamba para remoção de entulho,280.0,2016-01-07 00:00:00,194987
1865822,Distribuidor de impresso,350.0,2014-05-15 08:27:23,177593
505212,Transporte Local / Locação de Automóvel / Combustível,3500.0,2010-09-01 00:00:00,126721
1859526,Cartaz,0.8,2014-06-21 09:13:46,177701
1322582,Locação de Sala de Espetáculo,1500.0,2013-03-08 00:00:00,154894
2223171,Custo distribuição para bibliotecas,1200.0,2015-10-05 00:00:00,193162
1690854,Caixa de Produção,600.0,2014-03-15 00:00:00,164527
1277077,Fita Beta Digital,2800.0,2012-06-11 00:00:00,151552
1173081,Coordenação geral,6000.0,2016-07-12 09:38:05,202924
797848,Produtor Executivo,3000.0,2011-07-13 00:00:00,136517
1397419,Sinalização,440.0,2013-04-01 00:00:00,158171
1041176,Impressão,33.16,2014-01-07 10:09:09,152038
1399824,Mídia internet,300.0,2013-02-19 00:00:00,158710
1658049,Fotógrafo,1000.0,2014-01-07 10:09:08,163530
1690159,Produtor Executivo,3000.0,2013-10-31 00:00:00,166571
1737732,Cenografia/material/confecção,40000.0,2014-02-03 15:04:19,170233
455126,Arte educador,3200.0,2010-07-21 00:00:00,124025
2127696,Coordenador Administrativo,30000.0,2015-08-03 16:35:54,190358
1729668,Assistente de produção,80.0,2014-01-07 10:09:08,170006
1629571,Locação de equipamentos,35000.0,2013-04-10 00:00:00,159610
